Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,07-Aug-2026,11-Aug-2026,CE,22650.00,-,-,-,1913.40,-,1935.66,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,25600.00,1.20,1.80,1.05,1.25,1.10,1.25,391047.00,6507380.97,358.89,6888115.00,1163240.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,23850.00,780.75,795.85,700.00,757.80,758.55,757.80,151.00,2413.01,72.13,20410.00,2600.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,26900.00,0.60,0.60,0.30,0.35,0.40,0.35,4884.00,85398.05,1.31,75855.00,29120.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,25100.00,9.35,13.40,5.15,6.20,5.90,6.20,808114.00,13188944.95,4565.04,7730060.00,1353300.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,26500.00,0.45,0.55,0.45,0.50,0.45,0.50,16238.00,279704.76,5.21,451425.00,47255.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,22350.00,-,-,-,2196.15,-,2235.46,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,26800.00,0.45,0.50,0.35,0.40,0.35,0.40,8247.00,143665.03,2.29,102180.00,-34060.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,25400.00,2.00,3.05,1.60,1.95,1.75,1.95,916480.00,15132512.99,1428.19,4603755.00,450450.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,23900.00,713.35,748.05,648.15,710.25,710.70,710.25,852.00,13621.97,386.15,195000.00,-11310.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,26600.00,0.60,0.75,0.35,0.45,0.40,0.45,7580.00,131060.51,2.31,109135.00,59995.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,23200.00,1430.00,1445.00,1373.45,1416.55,1431.00,1416.55,18.00,287.91,16.47,4615.00,-390.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,21700.00,-,-,-,2828.05,-,2885.03,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,25350.00,2.50,3.60,1.85,2.25,2.15,2.25,532135.00,8769225.20,970.74,2242370.00,896220.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,22000.00,-,-,-,2196.20,-,2610.73,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,26750.00,0.95,1.00,0.75,0.85,0.75,0.85,82.00,1425.82,0.04,520.00,260.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,26500.00,0.85,0.95,0.80,0.90,0.95,0.90,2850.00,49092.82,1.57,101335.00,21255.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,27100.00,0.75,0.75,0.70,0.70,0.70,0.70,6.00,105.69,-,520.00,-,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,22950.00,-,-,-,1337.60,-,1664.22,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,25850.00,3.00,3.20,2.05,2.50,2.20,2.50,2014.00,33843.64,3.40,62205.00,35490.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,26000.00,1.85,2.25,1.45,1.55,1.50,1.55,35498.00,599955.45,39.25,1131130.00,633815.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,23150.00,-,-,-,1432.75,1432.75,1467.05,-,-,-,390.00,-,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,24450.00,299.55,336.50,262.70,293.00,291.50,293.00,3243.00,52163.59,624.21,74685.00,24635.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,23250.00,-,-,-,1037.55,1037.55,1369.36,-,-,-,325.00,-,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,23500.00,1151.10,1170.20,1098.00,1134.40,1140.00,1134.40,133.00,2129.22,97.64,23985.00,8060.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,26250.00,1.00,1.30,0.90,0.95,0.90,0.95,2374.00,40507.89,1.51,113945.00,90025.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,24500.00,273.05,303.40,232.95,259.80,260.15,259.80,37582.00,604895.67,6402.32,851110.00,265330.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,26400.00,0.95,1.00,0.90,0.95,1.00,0.95,155.00,2659.90,0.10,37180.00,-390.00,24570.65
NIFTY,07-Aug-2026,25-Aug-2026,CE,26850.00,2.50,3.10,1.60,1.65,1.60,1.65,93.00,1623.21,0.13,5720.00,2210.00,24570.65
NIFTY,07-Aug-2026,25-Aug-2026,CE,21700.00,-,-,-,2625.10,-,2935.36,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,25-Aug-2026,CE,23000.00,1670.05,1696.65,1605.00,1657.65,1661.50,1657.65,284.00,4550.41,304.61,538395.00,-2925.00,24570.65
NIFTY,07-Aug-2026,25-Aug-2026,CE,24650.00,246.00,287.35,219.55,240.00,241.30,240.00,7465.00,120796.10,1188.14,381745.00,86450.00,24570.65
NIFTY,07-Aug-2026,25-Aug-2026,CE,22150.00,-,-,-,2147.40,2147.40,2487.14,-,-,-,130.00,-,24570.65
NIFTY,07-Aug-2026,25-Aug-2026,CE,25950.00,7.35,8.15,5.30,5.75,5.65,5.75,8382.00,141419.89,36.51,72475.00,38610.00,24570.65
NIFTY,07-Aug-2026,25-Aug-2026,CE,26350.00,3.75,4.50,2.35,3.00,3.15,3.00,194.00,3323.18,0.45,8125.00,520.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,22450.00,-,-,-,2101.00,-,2135.53,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,24800.00,46.35,68.20,33.05,38.65,37.40,38.65,2048001.00,33075925.51,62149.39,9094865.00,2426320.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,23150.00,-,-,-,1415.65,1415.65,1436.02,-,-,-,195.00,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,21800.00,-,-,-,2729.80,-,2785.10,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,26150.00,0.50,0.65,0.45,0.55,0.50,0.55,19906.00,338359.45,7.21,623415.00,-109200.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,26000.00,0.65,0.75,0.60,0.65,0.70,0.65,306441.00,5178983.53,130.63,8401705.00,-5460.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,24550.00,140.00,186.60,116.50,138.85,137.00,138.85,2455353.00,39409564.58,228269.08,3838380.00,2804620.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,24450.00,217.80,254.45,173.95,204.55,202.10,204.55,343526.00,5505313.63,45826.68,530985.00,136370.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,26650.00,0.65,0.65,0.35,0.40,0.40,0.40,6485.00,112338.33,1.92,83655.00,2145.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,25000.00,18.75,23.90,9.65,11.40,10.60,11.40,1630908.00,26519190.89,16935.89,11337885.00,2520635.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,26250.00,0.60,0.70,0.45,0.60,0.50,0.60,9768.00,166670.29,3.79,153270.00,41080.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,26750.00,0.70,0.70,0.35,0.40,0.35,0.40,1442.00,25073.23,0.46,28730.00,12285.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,24400.00,249.00,291.85,207.25,242.15,240.00,242.15,298572.00,4782500.54,47148.62,1351740.00,-37245.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,27200.00,0.45,0.45,0.30,0.35,0.30,0.35,34488.00,609756.53,8.69,270660.00,-76505.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,25900.00,0.80,0.90,0.60,0.80,0.70,0.80,152604.00,2569159.23,70.89,4575935.00,824915.00,24570.65
NIFTY,07-Aug-2026,11-Aug-2026,CE,24850.00,34.95,53.45,24.60,28.85,27.30,28.85,972280.00,15727605.98,22853.28,3209050.00,1115790.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,25450.00,11.30,12.40,7.40,8.15,8.10,8.15,10291.00,170302.97,64.10,171665.00,80405.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,23050.00,-,-,-,1255.65,-,1565.40,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,23450.00,-,-,-,951.00,-,1176.88,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,23700.00,958.00,983.60,888.00,939.80,938.50,939.80,40.00,640.22,24.02,6825.00,2405.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,24150.00,550.55,560.70,481.00,520.85,521.15,520.85,68.00,1090.56,23.13,8125.00,2470.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,24950.00,70.00,89.25,60.10,66.80,67.50,66.80,9036.00,146961.46,420.13,254605.00,50375.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,22700.00,-,-,-,1551.05,-,1912.52,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,22400.00,-,-,-,1820.55,-,2211.56,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,22200.00,-,-,-,2006.50,-,2411.12,-,-,-,-,-,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,25600.00,5.00,7.00,4.50,5.00,5.00,5.00,34426.00,572970.16,121.52,782860.00,529555.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,23800.00,858.00,880.00,793.00,841.00,841.00,841.00,98.00,1568.39,52.33,18330.00,5265.00,24570.65
NIFTY,07-Aug-2026,18-Aug-2026,CE,23000.00,1650.00,1664.00,1603.35,1622.00,1622.00,1614.76,75.00,1200.87,79.62,4680.00,4680.00,24570.65
